epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1,val_kappa,lr
0,1.3532043397426605,0.41134185303514376,0.40924285579337993,3.1364505290985107,0.4666666666666667,0.37772721346814697,0.5028622012393036,0.001
1,1.184123957157135,0.5199680511182109,0.5157970315276865,1.2451775550842286,0.5777777777777777,0.5702389793097757,0.59950897652294,0.0009890738003669028
2,1.1050213873386383,0.5942492012779552,0.5933697311437616,1.2258006572723388,0.5444444444444444,0.5307987831377662,0.5757146730126217,0.0009567727288213005
3,1.082918357849121,0.5998402555910544,0.600139986735901,1.192355501651764,0.5407407407407407,0.5243661139921455,0.5506023395216202,0.0009045084971874737
4,1.0391654163599013,0.6445686900958466,0.6445168752589756,1.302986478805542,0.5407407407407407,0.5336501368478113,0.5551753635585971,0.0008345653031794292
5,0.9801092654466629,0.6765175718849841,0.6748211010198147,1.3669569969177247,0.5037037037037037,0.4869394765898606,0.4067426608073349,0.00075
6,0.9533780485391616,0.6964856230031949,0.6955120395181685,1.2155228972434997,0.5666666666666667,0.5500227414861562,0.628710651400556,0.0006545084971874737
7,0.9275335133075714,0.7228434504792333,0.7229204024551307,1.1833332657814026,0.5851851851851851,0.5839371443578938,0.5554614733276884,0.0005522642316338268
8,0.8686359047889709,0.7691693290734825,0.7682851112184717,1.2524811983108521,0.5407407407407407,0.5404697302235424,0.5393848309757607,0.00044773576836617336
9,0.7938291668891907,0.8146964856230032,0.814614231147692,1.2508814573287963,0.5703703703703704,0.550191938543828,0.6144415320875962,0.00034549150281252633
10,0.7784155666828155,0.8194888178913738,0.8192596147467593,1.2819438695907592,0.5481481481481482,0.5413586465451471,0.5722732619130877,0.0002500000000000001
11,0.7195401817560196,0.8498402555910544,0.8491302407621583,1.251125168800354,0.6296296296296297,0.6283232118758435,0.6334315705818074,0.00016543469682057105
12,0.7094348281621933,0.8570287539936102,0.8568204050671522,1.275104033946991,0.6074074074074074,0.605932641919604,0.6020904102430102,9.549150281252633e-05
13,0.675723460316658,0.8817891373801917,0.8815723221049229,1.278507661819458,0.6074074074074074,0.6041845357063673,0.5702940342252056,4.322727117869951e-05
14,0.6604060709476471,0.8865814696485623,0.8865741552374926,1.2416821122169495,0.6,0.5985855093859198,0.5557075234808253,1.0926199633097156e-05
15,0.8710782766342163,0.7595846645367412,0.7594506547161337,1.2978540897369384,0.5481481481481482,0.5419238793301762,0.576054955839058,0.001
16,0.919284874200821,0.7260383386581469,0.7264374596854852,1.227101743221283,0.5518518518518518,0.5547897773993856,0.5975239243977651,0.0009972609476841367
17,0.8814681231975555,0.7396166134185304,0.7391941011091652,1.1832635402679443,0.6,0.591535516622332,0.6091165914323344,0.0009890738003669028
18,0.8337816089391709,0.7795527156549521,0.7788582170544448,1.6029976606369019,0.5296296296296297,0.5225844120949154,0.45071065779094066,0.0009755282581475768
19,0.786015784740448,0.8075079872204473,0.8076787310173822,1.2070323705673218,0.5888888888888889,0.5780366479465329,0.5934173738166479,0.0009567727288213005
20,0.8052619218826294,0.7915335463258786,0.7912268854318254,1.276753044128418,0.5777777777777777,0.573865063266686,0.6413046943915997,0.0009330127018922195
21,0.7490498542785644,0.8394568690095847,0.8392606173319217,1.2563242435455322,0.5777777777777777,0.5654839449463359,0.5679091663064937,0.0009045084971874737
22,0.7378836691379547,0.853035143769968,0.8526965508409554,1.3432324409484864,0.5814814814814815,0.5827199271118698,0.5616835680039827,0.0008715724127386971
23,0.7134799212217331,0.860223642172524,0.8602293712230522,1.5700588464736938,0.5074074074074074,0.4877682628785275,0.5108763813213305,0.0008345653031794292
24,0.73477843105793,0.8498402555910544,0.8496402082782893,1.1888656735420227,0.562962962962963,0.5623521322842712,0.4768435276906068,0.0007938926261462366
25,0.6666462361812592,0.8905750798722045,0.8905563760938848,1.328735637664795,0.6,0.5989050468832386,0.554232378500161,0.00075
26,0.649704846739769,0.8929712460063898,0.8930817442252135,1.2590632081031798,0.5962962962962963,0.59503087003087,0.5539497196030614,0.0007033683215379002
